temp,eqp,pos,pg,pe,pp,gf,gc,pts,pos38,pts38,top4
2019,RMA,4,10,3,6,28,24,33,3,68,1
2018,RMA,4,10,5,4,35,18,35,3,76,1
2017,RMA,1,13,4,2,49,19,43,1,93,1
2016,RMA,3,12,4,3,52,18,40,2,90,1
2015,RMA,1,16,0,3,64,16,48,2,92,1
2014,RMA,3,15,2,2,53,21,47,3,87,1
2013,RMA,3,11,4,4,45,20,37,2,85,1
2012,RMA,1,16,1,2,67,18,49,1,100,1
2011,RMA,2,15,3,1,47,17,48,2,92,1
2010,RMA,2,14,2,3,44,14,44,2,96,1
2009,RMA,2,12,2,5,41,27,38,2,78,1
2008,RMA,1,15,2,2,41,14,47,1,85,1
2007,RMA,3,12,2,5,28,16,38,1,76,1
2006,RMA,4,10,3,6,33,21,33,2,70,1
2005,RMA,2,12,2,5,32,14,38,2,80,1
2004,RMA,2,13,3,3,37,19,42,4,70,1
2003,RMA,2,10,8,1,40,19,38,1,78,1
2002,RMA,1,10,5,4,36,22,35,3,66,1
2001,RMA,1,13,3,3,46,21,42,1,80,1
2000,RMA,4,7,8,4,32,30,29,5,62,0
2019,BAR,1,13,4,2,53,20,43,1,87,1
2018,BAR,1,16,3,0,52,9,51,1,93,1
2017,BAR,3,12,5,2,51,17,41,2,90,1
2016,BAR,1,14,3,2,47,16,45,1,91,1
2015,BAR,2,14,2,3,48,9,44,1,94,1
2014,BAR,1,16,2,1,53,12,50,2,87,1
2013,BAR,1,18,1,0,64,20,55,1,100,1
2012,BAR,2,13,5,1,59,12,44,2,91,1
2011,BAR,1,17,1,1,61,11,52,1,96,1
2010,BAR,1,15,4,0,49,10,49,1,99,1
2009,BAR,1,16,2,1,59,13,50,1,87,1
2008,BAR,2,12,4,3,38,13,40,3,67,1
2007,BAR,1,11,6,2,40,17,39,2,76,1
2006,BAR,1,14,4,1,47,16,46,1,82,1
2005,BAR,1,14,3,2,36,14,45,1,84,1
2004,BAR,7,7,6,6,26,25,27,2,72,1
2003,BAR,12,6,5,8,27,25,23,6,56,0
2002,BAR,7,8,6,5,27,17,30,4,64,1
2001,BAR,3,11,3,5,39,27,36,4,63,1
2000,BAR,3,10,3,6,41,27,33,2,64,1
